x	y	type	ai	info	cplx	Nxy_ai	log_confidence	infOrt	trueOrt	isOrtOk	sign	partial_correlation
000000000100000010000000000000000	Gata1	Ikaros	P	Gfi1b,Nfe2,Sox7	68.5908	15.5999	3934	52.9909	2	NA	NA	+	0.221706990601985
000000000001000000000000001000000	Gfi1b	Runx1	P	Ikaros	55.4321	5.72815	3934	49.70395	2	NA	NA	+	0.118185756265759
010000000000000000000100000000000	Erg	Meis1	P	Notch1,Cbfa2t3h	60.0182	10.4335	3934	49.5847	2	NA	NA	+	0.236407008088701
000000000011000000000000000000000	Gfi1	Gfi1b	P	Sfpi1	49.5369	6.10585	3934	43.43105	2	NA	NA	+	0.140673801866798
100000000000000001000000000000000	Cbfa2t3h	Ldb1	P	NA	45.4732	3.1035	3934	42.3697	2	NA	NA	+	0.161076366338066
010000000000000000001000000000000	Erg	Mecom	P	Meis1,Sox17	52.6077	10.862	3934	41.7457	2	NA	NA	+	0.169587829728536
010000000000100000000000000000000	Erg	Hhex	P	Sox7,Fli1	51.0932	9.5074	3934	41.5858	-2	NA	NA	+	0.165055238176676
000000100000100000000000000000000	Fli1	Hhex	P	Sox7,Tal1	46.2863	9.78954	3934	36.49676	-2	NA	NA	+	0.151338631889191
010000000000001000000000000000000	Erg	HoxB4	P	Sox7,Lyl1,Etv2	51.2477	16.1857	3934	35.062	2	NA	NA	+	0.199395305180818
001010000000000000000000000000000	Ets1	Etv2	P	Notch1,Sox7,Fli1	49.7392	16.7626	3934	32.9766	2	NA	NA	+	0.184892317961655
000000000001000000010000000000000	Gfi1b	Lyl1	P	Ikaros,Mecom	41.8789	10.2681	3934	31.6108	-2	NA	NA	+	0.151743788062342
000000000000000000000000000001001	Sox7	Tbx3	P	Tbx20,Gata1,Erg	48.2392	18.0143	3934	30.2249	-2	NA	NA	+	0.152102158770971
000000000000000010000000000100000	Ikaros	Sfpi1	P	Cbfa2t3h,Lyl1	38.7454	10.0122	3934	28.7332	2	NA	NA	+	0.147338797474504
000000010000000010000000000000000	FoxH1	Ikaros	P	NA	31.6303	3.09255	3934	28.53775	-2	NA	NA	+	0.117474868312413
000010100000000000000000000000000	Etv2	Fli1	P	Sox7,Ets1,Tal1	43.4907	16.1513	3934	27.3394	-2	NA	NA	+	0.113781084436935
000000000000000000000000000001100	Sox7	Tal1	P	Fli1,Hhex	37.1093	9.94564	3934	27.16366	-2	NA	NA	+	0.067276375965137
001000100000000000000000000000000	Ets1	Fli1	P	Sox7,Lyl1,Etv2	34.0443	16.3094	3934	17.7349	-2	NA	NA	+	0.14215359032307
000000000000000010000000000000100	Ikaros	Tal1	P	Cbfa2t3h,Lyl1,Tbx20	32.8021	15.2356	3934	17.5665	2	NA	NA	+	0.0766772036463891
000000001001000000000000000000000	FoxO4	Gfi1b	P	NA	19.7477	2.93278	3934	16.81492	-2	NA	NA	+	0.0857827794055146
000000000000000000000000100000010	Nfe2	Tbx20	P	Gata1,Notch1,Tal1	31.2568	15.7118	3934	15.545	2	NA	NA	-	-0.0895217184612447
001001000000000000000000000000000	Ets1	Etv6	P	Fli1,Notch1	24.678	9.78228	3934	14.89572	2	NA	NA	+	0.10620317989052
000000000000000000100000000100000	Lmo2	Sfpi1	P	Tal1,Erg	23.3528	8.59548	3934	14.75732	-2	NA	NA	+	0.112670711305787
010000000010000000000000000000000	Erg	Gfi1	P	Sfpi1,HoxB4	24.6468	10.545	3934	14.1018	2	NA	NA	+	0.0807066229429645
000000000100000000000010000000000	Gata1	Mitf	P	Tbx20	19.0302	6.39245	3934	12.63775	2	NA	NA	+	0.101771044972964
000000000000100000100000000000000	Hhex	Lmo2	P	Tal1,Sox7,Sfpi1	26.5755	14.8123	3934	11.7632	-2	NA	NA	+	0.110490757098198
000000000000000000000001100000000	Myb	Nfe2	P	Ikaros,Gfi1b	21.8086	10.3417	3934	11.4669	-2	NA	NA	+	0.105749207836144
000000011000000000000000000000000	FoxH1	FoxO4	P	Gfi1b	14.4267	3.37967	3934	11.04703	2	NA	NA	+	0.158777039134085
000100000000000000000000000001000	Ets2	Sox7	P	NA	12.9529	2.75621	3934	10.19669	-2	NA	NA	+	0.0761279805360582
000000000000000100000000000000001	HoxD8	Tbx3	P	NA	10.235	2.64584	3934	7.58916	-2	NA	NA	+	0.0640706519763229
100000000000000000000000000010000	Cbfa2t3h	Sox17	P	Gfi1	12.2222	5.99352	3934	6.22868	2	NA	NA	-	-0.0719406089515816
000000000000000000000000001100000	Runx1	Sfpi1	P	Ikaros,Sox17,Gfi1b	22.1362	16.723	3934	5.4132	-2	NA	NA	+	0.0790552655481503
000000010100000000000000000000000	FoxH1	Gata1	P	Ikaros	9.33945	4.86303	3934	4.47642	2	NA	NA	+	0.0345598719380657
000000000000000001001000000000000	Ldb1	Mecom	P	Ets1	8.43223	5.30514	3934	3.12709	2	NA	NA	+	0.0502166312701513
