x	y	type	ai	info	cplx	Nxy_ai	log_confidence	infOrt	trueOrt	isOrtOk	sign	partial_correlation
000000100000000100000000000000000	Fli1	HoxD8	N	NA	0.753065	2.55423	3934	-1.801165	0	NA	NA	NA	NA
000000000000000000000011000000000	Mitf	Myb	N	Gata1	4.50696	6.35453	3934	-1.84757	0	NA	NA	NA	NA
000000000000001000000000000000100	HoxB4	Tal1	N	Erg	3.80815	5.67492	3934	-1.86677	0	NA	NA	NA	NA
000101000000000000000000000000000	Ets2	Etv6	N	NA	0.567243	2.46029	3934	-1.893047	0	NA	NA	NA	NA
001000000010000000000000000000000	Ets1	Gfi1	N	Erg	3.62417	5.54522	3934	-1.92105	0	NA	NA	NA	NA
000000100000010000000000000000000	Fli1	HoxB2	N	NA	0.602462	2.53574	3934	-1.933278	0	NA	NA	NA	NA
000000000001000000000000000001000	Gfi1b	Sox7	N	Gata1,Erg,Sox17	14.1724	16.1112	3934	-1.9388	0	NA	NA	NA	NA
010000000000000100000000000000000	Erg	HoxD8	N	NA	0.683615	2.64318	3934	-1.959565	0	NA	NA	NA	NA
000001000000000000000000000000100	Etv6	Tal1	N	Fli1,Erg,Lmo2	9.14295	11.1052	3934	-1.96225	0	NA	NA	NA	NA
000000110000000000000000000000000	Fli1	FoxH1	N	NA	1.02848	2.99586	3934	-1.96738	0	NA	NA	NA	NA
000000000010000000000000001000000	Gfi1	Runx1	N	Ikaros,Myb	7.37844	9.35057	3934	-1.97213	0	NA	NA	NA	NA
000000000000000000000000100001000	Nfe2	Sox7	N	Gata1,Notch1,Gfi1	14.2962	16.2942	3934	-1.998	0	NA	NA	NA	NA
000100000000000010000000000000000	Ets2	Ikaros	N	NA	0.755025	2.76179	3934	-2.006765	0	NA	NA	NA	NA
000100000000000000000000010000000	Ets2	Notch1	N	Sox7	2.25383	4.26143	3934	-2.0076	0	NA	NA	NA	NA
000000000100001000000000000000000	Gata1	HoxB4	N	Notch1,Tbx20	8.7084	10.7186	3934	-2.0102	0	NA	NA	NA	NA
000100000000000000000000001000000	Ets2	Runx1	N	NA	0.615097	2.64913	3934	-2.034033	0	NA	NA	NA	NA
000000000000000000000000010000100	Notch1	Tal1	N	Erg,Lmo2	6.81108	8.84675	3934	-2.03567	0	NA	NA	NA	NA
000000000001000001000000000000000	Gfi1b	Ldb1	N	Cbfa2t3h	3.21671	5.26078	3934	-2.04407	0	NA	NA	NA	NA
000000000000010000000000000100000	HoxB2	Sfpi1	N	NA	0.556993	2.62003	3934	-2.063037	0	NA	NA	NA	NA
000100000000000000000000000000001	Ets2	Tbx3	N	NA	0.688566	2.75671	3934	-2.068144	0	NA	NA	NA	NA
100000000000000000000001000000000	Cbfa2t3h	Myb	N	Ikaros,Tal1	6.58272	8.65979	3934	-2.07707	0	NA	NA	NA	NA
000000000000000000000000001000010	Runx1	Tbx20	N	Gata1	3.84089	5.93006	3934	-2.08917	0	NA	NA	NA	NA
000000001000000000000100000000000	FoxO4	Meis1	N	NA	0.834717	2.92639	3934	-2.091673	0	NA	NA	NA	NA
000000000001000000000000000100000	Gfi1b	Sfpi1	N	Lyl1,Ikaros	8.13931	10.2524	3934	-2.11309	0	NA	NA	NA	NA
000000000000000100000000000100000	HoxD8	Sfpi1	N	NA	0.513989	2.63852	3934	-2.124531	0	NA	NA	NA	NA
000000000000010000000000000010000	HoxB2	Sox17	N	NA	0.485421	2.62226	3934	-2.136839	0	NA	NA	NA	NA
000100000010000000000000000000000	Ets2	Gfi1	N	NA	0.383698	2.52131	3934	-2.137612	0	NA	NA	NA	NA
100000000000000000000000000000010	Cbfa2t3h	Tbx20	N	NA	1.49898	3.6425	3934	-2.14352	0	NA	NA	NA	NA
000000000000010000100000000000000	HoxB2	Lmo2	N	Etv2	1.89823	4.04204	3934	-2.14381	0	NA	NA	NA	NA
000000000000010000000000100000000	HoxB2	Nfe2	N	NA	0.466101	2.62496	3934	-2.158859	0	NA	NA	NA	NA
000000001000000001000000000000000	FoxO4	Ldb1	N	NA	0.219246	2.39957	3934	-2.180324	0	NA	NA	NA	NA
000000000000000000010000010000000	Lyl1	Notch1	N	Lmo2,Sfpi1	8.80037	11.001	3934	-2.20063	0	NA	NA	NA	NA
000000100100000000000000000000000	Fli1	Gata1	N	NA	1.36151	3.56603	3934	-2.20452	0	NA	NA	NA	NA
000100000000000000000000000100000	Ets2	Sfpi1	N	Sox7	2.33206	4.53809	3934	-2.20603	0	NA	NA	NA	NA
000000100000000000000000010000000	Fli1	Notch1	N	Erg,Ets1,Tal1	11.4589	13.6913	3934	-2.2324	0	NA	NA	NA	NA
000100000000000000000100000000000	Ets2	Meis1	N	NA	0.516021	2.74939	3934	-2.233369	0	NA	NA	NA	NA
000000010000001000000000000000000	FoxH1	HoxB4	N	NA	0.814847	3.07114	3934	-2.256293	0	NA	NA	NA	NA
000000000000000100000010000000000	HoxD8	Mitf	N	NA	0.311505	2.58816	3934	-2.276655	0	NA	NA	NA	NA
000000000000010000000010000000000	HoxB2	Mitf	N	NA	0.274418	2.56966	3934	-2.295242	0	NA	NA	NA	NA
000000000000000100000000000000100	HoxD8	Tal1	N	NA	0.213665	2.51653	3934	-2.302865	0	NA	NA	NA	NA
000000000000000000000100000000100	Meis1	Tal1	N	Runx1	3.87561	6.18567	3934	-2.31006	0	NA	NA	NA	NA
000100000000000000000000000010000	Ets2	Sox17	N	NA	0.420205	2.75162	3934	-2.331415	0	NA	NA	NA	NA
000000000000010000000000010000000	HoxB2	Notch1	N	Etv2	1.48496	3.8189	3934	-2.33394	0	NA	NA	NA	NA
000000010000000000000100000000000	FoxH1	Meis1	N	NA	0.74122	3.08015	3934	-2.33893	0	NA	NA	NA	NA
000000000000100000000001000000000	Hhex	Myb	N	Etv6	3.66258	6.0063	3934	-2.34372	0	NA	NA	NA	NA
000000000000010000000000000000001	HoxB2	Tbx3	N	Etv2	1.68719	4.03268	3934	-2.34549	0	NA	NA	NA	NA
000000100000000000001000000000000	Fli1	Mecom	N	Hhex	3.74141	6.11384	3934	-2.37243	0	NA	NA	NA	NA
000000000010000100000000000000000	Gfi1	HoxD8	N	NA	0.0299689	2.41044	3934	-2.3804711	0	NA	NA	NA	NA
000000001000000000000010000000000	FoxO4	Mitf	N	NA	0.401185	2.87603	3934	-2.474845	0	NA	NA	NA	NA
100100000000000000000000000000000	Cbfa2t3h	Ets2	N	Lmo2	1.91693	4.39854	3934	-2.48161	0	NA	NA	NA	NA
000100000000000000000010000000000	Ets2	Mitf	N	NA	0.212072	2.69902	3934	-2.486948	0	NA	NA	NA	NA
000000000000000100100000000000000	HoxD8	Lmo2	N	NA	0.154359	2.64483	3934	-2.490471	0	NA	NA	NA	NA
000000000000010000000000001000000	HoxB2	Runx1	N	NA	0.00741061	2.51977	3934	-2.51235939	0	NA	NA	NA	NA
000000000000110000000000000000000	Hhex	HoxB2	N	NA	0.0765954	2.6014	3934	-2.5248046	0	NA	NA	NA	NA
001000000000000100000000000000000	Ets1	HoxD8	N	NA	0.0518712	2.60429	3934	-2.5524188	0	NA	NA	NA	NA
000000000000010010000000000000000	HoxB2	Ikaros	N	NA	0.0786745	2.63243	3934	-2.5537555	0	NA	NA	NA	NA
000000000000010000010000000000000	HoxB2	Lyl1	N	NA	0.0224441	2.59065	3934	-2.5682059	0	NA	NA	NA	NA
000001000000100000000000000000000	Etv6	Hhex	N	Erg,Fli1,Ets1	10.4435	13.0199	3934	-2.5764	0	NA	NA	NA	NA
000000000000000100001000000000000	HoxD8	Mecom	N	NA	0.000375704	2.58279	3934	-2.582414296	0	NA	NA	NA	NA
000100000000001000000000000000000	Ets2	HoxB4	N	Notch1	1.84789	4.43271	3934	-2.58482	0	NA	NA	NA	NA
000000000000010000000001000000000	HoxB2	Myb	N	NA	0.0397323	2.63262	3934	-2.5928877	0	NA	NA	NA	NA
000000001000000000000000100000000	FoxO4	Nfe2	N	Gfi1b	1.83286	4.42674	3934	-2.59388	0	NA	NA	NA	NA
000000000000000000000000010000001	Notch1	Tbx3	N	Tbx20,HoxB4	8.35796	10.9573	3934	-2.59934	0	NA	NA	NA	NA
000000010000000000010000000000000	FoxH1	Lyl1	N	NA	0.450956	3.05078	3934	-2.599824	0	NA	NA	NA	NA
000000000001010000000000000000000	Gfi1b	HoxB2	N	NA	0.0253813	2.62641	3934	-2.6010287	0	NA	NA	NA	NA
000000000000001000000000010000000	HoxB4	Notch1	N	Sox7,Erg,Ikaros	14.1917	16.7943	3934	-2.6026	0	NA	NA	NA	NA
000000001000000000010000000000000	FoxO4	Lyl1	N	NA	0.292778	2.89702	3934	-2.604242	0	NA	NA	NA	NA
000000000000000100000000010000000	HoxD8	Notch1	N	NA	0.020431	2.63852	3934	-2.618089	0	NA	NA	NA	NA
000000000000000001000000100000000	Ldb1	Nfe2	N	Cbfa2t3h	2.64548	5.26986	3934	-2.62438	0	NA	NA	NA	NA
000000010000000000000010000000000	FoxH1	Mitf	N	NA	0.398814	3.02978	3934	-2.630966	0	NA	NA	NA	NA
000000000000000100000000000010000	HoxD8	Sox17	N	NA	0.00840909	2.64076	3934	-2.63235091	0	NA	NA	NA	NA
000000000010001000000000000000000	Gfi1	HoxB4	N	Erg,Runx1,Sox7,Gfi1b	20.5848	23.2275	3934	-2.6427	0	NA	NA	NA	NA
000000010000000001000000000000000	FoxH1	Ldb1	N	Ikaros,Tbx20,Notch1	7.28878	9.93664	3934	-2.64786	0	NA	NA	NA	NA
000000000010000000000001000000000	Gfi1	Myb	N	Sfpi1,Gfi1b,Hhex	14.4929	17.1422	3934	-2.6493	0	NA	NA	NA	NA
000000000010000000001000000000000	Gfi1	Mecom	N	NA	0.719898	3.3778	3934	-2.657902	0	NA	NA	NA	NA
000100100000000000000000000000000	Ets2	Fli1	N	Sox7	1.52441	4.19188	3934	-2.66747	0	NA	NA	NA	NA
000000001000000000000000000000001	FoxO4	Tbx3	N	NA	0.227539	2.93371	3934	-2.706171	0	NA	NA	NA	NA
000000000000000000000001000000001	Myb	Tbx3	N	Gata1	3.66444	6.37714	3934	-2.7127	0	NA	NA	NA	NA
010100000000000000000000000000000	Erg	Ets2	N	Sox7	1.46945	4.18351	3934	-2.71406	0	NA	NA	NA	NA
000100000001000000000000000000000	Ets2	Gfi1b	N	NA	0.0346131	2.75577	3934	-2.7211569	0	NA	NA	NA	NA
000100000000000000010000000000000	Ets2	Lyl1	N	Sox7	1.74748	4.48427	3934	-2.73679	0	NA	NA	NA	NA
000100000100000000000000000000000	Ets2	Gata1	N	NA	0.000226577	2.7381	3934	-2.737873423	0	NA	NA	NA	NA
000001000000000000000000001000000	Etv6	Runx1	N	NA	0.532693	3.27226	3934	-2.739567	0	NA	NA	NA	NA
010000000000010000000000000000000	Erg	HoxB2	N	Etv2	1.11762	3.86426	3934	-2.74664	0	NA	NA	NA	NA
000100000000000000000000100000000	Ets2	Nfe2	N	NA	0.00629792	2.75432	3934	-2.74802208	0	NA	NA	NA	NA
100000000000000000000100000000000	Cbfa2t3h	Meis1	N	NA	0.881526	3.63033	3934	-2.748804	0	NA	NA	NA	NA
000000000000001000000000000000010	HoxB4	Tbx20	N	Sox7,Lyl1,Etv2,Tbx3	26.0453	28.8042	3934	-2.7589	0	NA	NA	NA	NA
000000000000000000000010000000100	Mitf	Tal1	N	NA	0.725386	3.48925	3934	-2.763864	0	NA	NA	NA	NA
000001010000000000000000000000000	Etv6	FoxH1	N	NA	0.00403921	2.79105	3934	-2.78701079	0	NA	NA	NA	NA
000010000000000010000000000000000	Etv2	Ikaros	N	Notch1,Tbx3	8.27725	11.0707	3934	-2.79345	0	NA	NA	NA	NA
000000000000000000000101000000000	Meis1	Myb	N	Gata1	3.5428	6.34033	3934	-2.79753	0	NA	NA	NA	NA
000000000000000000010000000010000	Lyl1	Sox17	N	NA	0.831038	3.63447	3934	-2.803432	0	NA	NA	NA	NA
000000000010000001000000000000000	Gfi1	Ldb1	N	NA	0.0968735	2.9067	3934	-2.8098265	0	NA	NA	NA	NA
000000000000011000000000000000000	HoxB2	HoxB4	N	Etv2	1.09202	3.90464	3934	-2.81262	0	NA	NA	NA	NA
000000001000000000100000000000000	FoxO4	Lmo2	N	NA	0.10688	2.9327	3934	-2.82582	0	NA	NA	NA	NA
000000000000000000000000010100000	Notch1	Sfpi1	N	Hhex	3.56166	6.39264	3934	-2.83098	0	NA	NA	NA	NA
001000000000010000000000000000000	Ets1	HoxB2	N	Etv2	0.995874	3.83153	3934	-2.835656	0	NA	NA	NA	NA
000100000000000000000000000000100	Ets2	Tal1	N	Sox7	1.30769	4.15428	3934	-2.84659	0	NA	NA	NA	NA
000000000000010000000000000000010	HoxB2	Tbx20	N	Etv2	1.09625	3.95048	3934	-2.85423	0	NA	NA	NA	NA
000000001100000000000000000000000	FoxO4	Gata1	N	Gfi1b	1.46859	4.3276	3934	-2.85901	0	NA	NA	NA	NA
000000000000000010000010000000000	Ikaros	Mitf	N	Gata1	3.27994	6.14601	3934	-2.86607	0	NA	NA	NA	NA
000000000000000110000000000000000	HoxD8	Ikaros	N	Tbx3	1.23118	4.12674	3934	-2.89556	0	NA	NA	NA	NA
000000001000000000000000000010000	FoxO4	Sox17	N	Gfi1b,Tal1,FoxH1	6.21163	9.11236	3934	-2.90073	0	NA	NA	NA	NA
010000000000000000000000000000100	Erg	Tal1	N	Fli1,Hhex,Cbfa2t3h,Sox7	18.4361	21.3469	3934	-2.9108	0	NA	NA	NA	NA
000000000001000100000000000000000	Gfi1b	HoxD8	N	Tbx3	1.16664	4.07935	3934	-2.91271	0	NA	NA	NA	NA
000000000000000001000000001000000	Ldb1	Runx1	N	NA	0.0761666	3.03453	3934	-2.9583634	0	NA	NA	NA	NA
000000000000100000000000001000000	Hhex	Runx1	N	NA	0.581186	3.54272	3934	-2.961534	0	NA	NA	NA	NA
000000000000000001000000000100000	Ldb1	Sfpi1	N	Cbfa2t3h	2.23211	5.22767	3934	-2.99556	0	NA	NA	NA	NA
001000010000000000000000000000000	Ets1	FoxH1	N	NA	0.0334875	3.04592	3934	-3.0124325	0	NA	NA	NA	NA
000000000000000001000000000010000	Ldb1	Sox17	N	NA	0.11576	3.13701	3934	-3.02125	0	NA	NA	NA	NA
000000000000000001000100000000000	Ldb1	Meis1	N	NA	0.106623	3.13478	3934	-3.028157	0	NA	NA	NA	NA
000000010000100000000000000000000	FoxH1	Hhex	N	NA	0.0201152	3.06152	3934	-3.0414048	0	NA	NA	NA	NA
000000000000000000110000000000000	Lmo2	Lyl1	N	Tal1,Erg,Sfpi1	10.9342	13.988	3934	-3.0538	0	NA	NA	NA	NA
000001000001000000000000000000000	Etv6	Gfi1b	N	NA	0.304192	3.3789	3934	-3.074708	0	NA	NA	NA	NA
000010010000000000000000000000000	Etv2	FoxH1	N	NA	0.00399154	3.08073	3934	-3.07673846	0	NA	NA	NA	NA
000000000100000000000000000100000	Gata1	Sfpi1	N	Gfi1b	3.08633	6.16461	3934	-3.07828	0	NA	NA	NA	NA
000001000000001000000000000000000	Etv6	HoxB4	N	Erg,Etv2	5.78175	8.86559	3934	-3.08384	0	NA	NA	NA	NA
000000010001000000000000000000000	FoxH1	Gfi1b	N	Ikaros	1.79647	4.91432	3934	-3.11785	0	NA	NA	NA	NA
000000000000000001000000000001000	Ldb1	Sox7	N	NA	0.0127252	3.1416	3934	-3.1288748	0	NA	NA	NA	NA
010000000000000000000001000000000	Erg	Myb	N	NA	0.533007	3.67886	3934	-3.145853	0	NA	NA	NA	NA
000000000000000000001000000000100	Mecom	Tal1	N	NA	0.328214	3.48388	3934	-3.155666	0	NA	NA	NA	NA
100000000000000000000000000000001	Cbfa2t3h	Tbx3	N	Gfi1b	3.11521	6.27584	3934	-3.16063	0	NA	NA	NA	NA
000000010000000000000000000100000	FoxH1	Sfpi1	N	Gfi1b	2.02418	5.21667	3934	-3.19249	0	NA	NA	NA	NA
000000000000100000000000100000000	Hhex	Nfe2	N	Ets1	3.24654	6.4465	3934	-3.19996	0	NA	NA	NA	NA
000001000000000000000000100000000	Etv6	Nfe2	N	NA	0.168053	3.37744	3934	-3.209387	0	NA	NA	NA	NA
000000000010000000000010000000000	Gfi1	Mitf	N	NA	0.144567	3.38316	3934	-3.238593	0	NA	NA	NA	NA
000001000000000000000010000000000	Etv6	Mitf	N	NA	0.068366	3.32214	3934	-3.253774	0	NA	NA	NA	NA
000000000000001000000100000000000	HoxB4	Meis1	N	Notch1,Erg,Tbx3	14.9145	18.191	3934	-3.2765	0	NA	NA	NA	NA
000100000000100000000000000000000	Ets2	Hhex	N	Notch1	1.22417	4.51342	3934	-3.28925	0	NA	NA	NA	NA
000000000000000000010010000000000	Lyl1	Mitf	N	NA	0.258233	3.58187	3934	-3.323637	0	NA	NA	NA	NA
001000000000000000000000000010000	Ets1	Sox17	N	Notch1	2.89323	6.23623	3934	-3.343	0	NA	NA	NA	NA
000000000000000000000100000100000	Meis1	Sfpi1	N	HoxB4	3.14849	6.50077	3934	-3.35228	0	NA	NA	NA	NA
000000000010000000000000000001000	Gfi1	Sox7	N	Sfpi1,HoxB4,Erg	12.855	16.2182	3934	-3.3632	0	NA	NA	NA	NA
000000000010000010000000000000000	Gfi1	Ikaros	N	Sfpi1,Gfi1b	6.67592	10.0494	3934	-3.37348	0	NA	NA	NA	NA
000000000000001010000000000000000	HoxB4	Ikaros	N	NA	0.275268	3.66501	3934	-3.389742	0	NA	NA	NA	NA
000000000000000001100000000000000	Ldb1	Lmo2	N	Tal1	1.51034	4.91482	3934	-3.40448	0	NA	NA	NA	NA
000000000000000000000001000000010	Myb	Tbx20	N	Gata1	2.90493	6.36493	3934	-3.46	0	NA	NA	NA	NA
000000000000001000000000001000000	HoxB4	Runx1	N	NA	0.0863584	3.55235	3934	-3.4659916	0	NA	NA	NA	NA
000000000100100000000000000000000	Gata1	Hhex	N	Etv2	2.86646	6.36045	3934	-3.49399	0	NA	NA	NA	NA
000000100000000000000001000000000	Fli1	Myb	N	Tal1	2.32496	5.85448	3934	-3.52952	0	NA	NA	NA	NA
000000001000000000000000000000100	FoxO4	Tal1	N	Fli1	0.349159	3.90634	3934	-3.557181	0	NA	NA	NA	NA
000000000000000000000000000100010	Sfpi1	Tbx20	N	NA	0.113766	3.67377	3934	-3.560004	0	NA	NA	NA	NA
000000000010000000000000010000000	Gfi1	Notch1	N	Sox7	2.20265	5.76426	3934	-3.56161	0	NA	NA	NA	NA
000000000000100000000000000000010	Hhex	Tbx20	N	Sox7,Myb	7.45391	11.0161	3934	-3.56219	0	NA	NA	NA	NA
000000000000000000010001000000000	Lyl1	Myb	N	Ikaros,Tal1	5.4183	8.98483	3934	-3.56653	0	NA	NA	NA	NA
000000000000010000000000000001000	HoxB2	Sox7	N	Etv2	0.246431	3.83895	3934	-3.592519	0	NA	NA	NA	NA
001000000000000000000001000000000	Ets1	Myb	N	NA	0.00985817	3.63997	3934	-3.63011183	0	NA	NA	NA	NA
000000000000100010000000000000000	Hhex	Ikaros	N	NA	0.0233713	3.65538	3934	-3.6320087	0	NA	NA	NA	NA
000000000000001000000001000000000	HoxB4	Myb	N	NA	0.0235761	3.6652	3934	-3.6416239	0	NA	NA	NA	NA
000000000100000000100000000000000	Gata1	Lmo2	N	NA	5.7488e-05	3.65663	3934	-3.656572512	0	NA	NA	NA	NA
010000000000000010000000000000000	Erg	Ikaros	N	NA	2.66218e-08	3.67867	3934	-3.6786699733782	0	NA	NA	NA	NA
000000010000000000000000001000000	FoxH1	Runx1	N	Gfi1b	0.975661	4.6743	3934	-3.698639	0	NA	NA	NA	NA
001000000000000000000000001000000	Ets1	Runx1	N	Gfi1b	2.25114	5.96914	3934	-3.718	0	NA	NA	NA	NA
001000000000000001000000000000000	Ets1	Ldb1	N	Fli1,Sox7,Mecom	9.61467	13.346	3934	-3.73133	0	NA	NA	NA	NA
000110000000000000000000000000000	Ets2	Etv2	N	Sox7	0.471218	4.29606	3934	-3.824842	0	NA	NA	NA	NA
000010000000000000001000000000000	Etv2	Mecom	N	Notch1	2.23407	6.06296	3934	-3.82889	0	NA	NA	NA	NA
000010000100000000000000000000000	Etv2	Gata1	N	Notch1,Tbx20	6.85227	10.684	3934	-3.83173	0	NA	NA	NA	NA
000000000000001000000010000000000	HoxB4	Mitf	N	Tbx20,Nfe2	7.37736	11.2627	3934	-3.88534	0	NA	NA	NA	NA
000010000010000000000000000000000	Etv2	Gfi1	N	Sox7	1.85445	5.79888	3934	-3.94443	0	NA	NA	NA	NA
000000001000000000000000000100000	FoxO4	Sfpi1	N	Ikaros	0.880778	4.90184	3934	-4.021062	0	NA	NA	NA	NA
000000000000000000000100001000000	Meis1	Runx1	N	Ikaros,Gata1	5.36317	9.40658	3934	-4.04341	0	NA	NA	NA	NA
000001000000000000001000000000000	Etv6	Mecom	N	Erg	1.30967	5.36647	3934	-4.0568	0	NA	NA	NA	NA
000001000000000000000001000000000	Etv6	Myb	N	Tal1	1.64873	5.71257	3934	-4.06384	0	NA	NA	NA	NA
000000000000000000000000100010000	Nfe2	Sox17	N	Gata1,Tal1,Notch1,Gfi1b	17.8648	21.9463	3934	-4.0815	0	NA	NA	NA	NA
000000000010000000010000000000000	Gfi1	Lyl1	N	Gfi1b,Sfpi1	5.73634	9.83506	3934	-4.09872	0	NA	NA	NA	NA
000000000000000000000000001001000	Runx1	Sox7	N	Mitf	2.16624	6.27841	3934	-4.11217	0	NA	NA	NA	NA
001100000000000000000000000000000	Ets1	Ets2	N	Sox7	0.150635	4.26983	3934	-4.119195	0	NA	NA	NA	NA
000000001000000000001000000000000	FoxO4	Mecom	N	Sox17	0.768141	4.89389	3934	-4.125749	0	NA	NA	NA	NA
000100000000000000000000000000010	Ets2	Tbx20	N	Sox7	0.298554	4.43361	3934	-4.135056	0	NA	NA	NA	NA
000000000100000000000000001000000	Gata1	Runx1	N	Ikaros,Gfi1b,Etv2	10.1571	14.2923	3934	-4.1352	0	NA	NA	NA	NA
000000000100000000010000000000000	Gata1	Lyl1	N	Ikaros,Tal1	3.91514	8.06227	3934	-4.14713	0	NA	NA	NA	NA
010000010000000000000000000000000	Erg	FoxH1	N	Gata1	0.754947	4.92964	3934	-4.174693	0	NA	NA	NA	NA
000000000000000000000000000010010	Sox17	Tbx20	N	Sox7	2.1462	6.39332	3934	-4.24712	0	NA	NA	NA	NA
000000100000000000000000100000000	Fli1	Nfe2	N	Myb	1.98626	6.2703	3934	-4.28404	0	NA	NA	NA	NA
010000000000000000000000000000001	Erg	Tbx3	N	Ets1	1.69637	5.99278	3934	-4.29641	0	NA	NA	NA	NA
100000000010000000000000000000000	Cbfa2t3h	Gfi1	N	Ikaros	1.43754	5.75433	3934	-4.31679	0	NA	NA	NA	NA
000010000000000000000000000000001	Etv2	Tbx3	N	Tbx20,Sox7,Fli1,Gata1	23.153	27.4894	3934	-4.3364	0	NA	NA	NA	NA
000000010000000000000000000000100	FoxH1	Tal1	N	Ikaros	0.109681	4.4766	3934	-4.366919	0	NA	NA	NA	NA
100000000000000000000000001000000	Cbfa2t3h	Runx1	N	Ikaros,Sfpi1	5.258	9.62876	3934	-4.37076	0	NA	NA	NA	NA
000000001000000000000001000000000	FoxO4	Myb	N	Gfi1b	0.222336	4.59548	3934	-4.373144	0	NA	NA	NA	NA
000000100000000000000100000000000	Fli1	Meis1	N	Tbx20	1.97987	6.36835	3934	-4.38848	0	NA	NA	NA	NA
000001000000000000000000000000010	Etv6	Tbx20	N	Etv2,Myb	5.727	10.1189	3934	-4.3919	0	NA	NA	NA	NA
000000001000100000000000000000000	FoxO4	Hhex	N	Sox7	0.339586	4.73949	3934	-4.399904	0	NA	NA	NA	NA
001000001000000000000000000000000	Ets1	FoxO4	N	Sox7	0.24415	4.67365	3934	-4.4295	0	NA	NA	NA	NA
000000100010000000000000000000000	Fli1	Gfi1	N	Erg	0.948003	5.38675	3934	-4.438747	0	NA	NA	NA	NA
000000010000000000000000000001000	FoxH1	Sox7	N	Nfe2	0.83481	5.30075	3934	-4.46594	0	NA	NA	NA	NA
100000010000000000000000000000000	Cbfa2t3h	FoxH1	N	Ikaros	0.418598	4.89125	3934	-4.472652	0	NA	NA	NA	NA
000000100000000001000000000000000	Fli1	Ldb1	N	Cbfa2t3h,Notch1	4.325	8.80864	3934	-4.48364	0	NA	NA	NA	NA
000000000010000000000000100000000	Gfi1	Nfe2	N	Ikaros	1.29433	5.79862	3934	-4.50429	0	NA	NA	NA	NA
000000100001000000000000000000000	Fli1	Gfi1b	N	Myb	1.7443	6.25283	3934	-4.50853	0	NA	NA	NA	NA
000000000000001000000000000100000	HoxB4	Sfpi1	N	Erg	1.93505	6.45584	3934	-4.52079	0	NA	NA	NA	NA
000000000000000001000000000000001	Ldb1	Tbx3	N	Gfi1b	0.854157	5.3934	3934	-4.539243	0	NA	NA	NA	NA
100000000000000000000010000000000	Cbfa2t3h	Mitf	N	Nfe2	1.63881	6.2242	3934	-4.58539	0	NA	NA	NA	NA
000000000000100001000000000000000	Hhex	Ldb1	N	Cbfa2t3h,Notch1	4.65344	9.25357	3934	-4.60013	0	NA	NA	NA	NA
000000000010000000000000000000100	Gfi1	Tal1	N	Gata1	1.09277	5.6981	3934	-4.60533	0	NA	NA	NA	NA
000000000000001000010000000000000	HoxB4	Lyl1	N	Erg,Runx1,Fli1,Tbx3,Tbx20	34.5368	39.1546	3934	-4.6178	0	NA	NA	NA	NA
000000000010000000000000000000010	Gfi1	Tbx20	N	Sox7	1.30274	5.93643	3934	-4.63369	0	NA	NA	NA	NA
100000000001000000000000000000000	Cbfa2t3h	Gfi1b	N	Ikaros,Lyl1,Tbx3	12.167	16.8146	3934	-4.6476	0	NA	NA	NA	NA
000010000000000001000000000000000	Etv2	Ldb1	N	Ets1	0.654355	5.35354	3934	-4.699185	0	NA	NA	NA	NA
010000000000000000000000000000010	Erg	Tbx20	N	Sox7	1.40602	6.11286	3934	-4.70684	0	NA	NA	NA	NA
000000000000000010100000000000000	Ikaros	Lmo2	N	Tal1	0.579601	5.31441	3934	-4.734809	0	NA	NA	NA	NA
000000000000101000000000000000000	Hhex	HoxB4	N	Sox7,Tal1	5.30396	10.0507	3934	-4.74674	0	NA	NA	NA	NA
000001000000000000000000000010000	Etv6	Sox17	N	Erg	0.674039	5.48353	3934	-4.809491	0	NA	NA	NA	NA
000000000000000000100000100000000	Lmo2	Nfe2	N	Sfpi1	1.75256	6.57932	3934	-4.82676	0	NA	NA	NA	NA
010000000000000001000000000000000	Erg	Ldb1	N	Fli1	0.0868389	4.92132	3934	-4.8344811	0	NA	NA	NA	NA
000001000000000000000000000100000	Etv6	Sfpi1	N	Tal1,Erg	2.89818	7.75562	3934	-4.85744	0	NA	NA	NA	NA
000000010000000000000001000000000	FoxH1	Myb	N	Ikaros	0.215533	5.09312	3934	-4.877587	0	NA	NA	NA	NA
000000010000000000000000100000000	FoxH1	Nfe2	N	Ikaros	0.0452891	4.93554	3934	-4.8902509	0	NA	NA	NA	NA
000000000000000000000010000010000	Mitf	Sox17	N	Gata1	1.37082	6.26972	3934	-4.8989	0	NA	NA	NA	NA
000000000000000000000001000010000	Myb	Sox17	N	Gata1,Ikaros,Nfe2,Gfi1b	21.8475	26.7515	3934	-4.904	0	NA	NA	NA	NA
010000000000000000100000000000000	Erg	Lmo2	N	Tal1,Sox7,Sfpi1,Hhex,Fli1	22.679	27.6141	3934	-4.9351	0	NA	NA	NA	NA
000000000000000000101000000000000	Lmo2	Mecom	N	HoxB4	1.54408	6.47992	3934	-4.93584	0	NA	NA	NA	NA
001000000000000000010000000000000	Ets1	Lyl1	N	Tal1	0.863452	5.82969	3934	-4.966238	0	NA	NA	NA	NA
000000000000000001010000000000000	Ldb1	Lyl1	N	Cbfa2t3h	0.223594	5.22664	3934	-5.003046	0	NA	NA	NA	NA
